                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                 1.6875,                 2.0051,                 1.3209,                0.38459,                0.31829,                0.28763,                0.16019,                 1.6297,                 1.9528,                 1.3056,              0.0078022,              0.0078022,              0.0078022
                    114,                 1.6913,                 2.0022,                 1.3245,                0.38542,                 0.3177,                0.28804,                0.16066,                 1.6297,                 1.9513,                 1.3056,              0.0077824,              0.0077824,              0.0077824
                    115,                 1.6784,                 1.9766,                 1.3138,                0.38553,                0.31799,                0.28919,                0.16103,                 1.6284,                 1.9518,                 1.3047,              0.0077626,              0.0077626,              0.0077626
                    116,                 1.6723,                 1.9864,                 1.3107,                0.38709,                 0.3177,                0.29057,                0.16162,                 1.6281,                 1.9493,                 1.3043,              0.0077428,              0.0077428,              0.0077428
                    117,                 1.6759,                 1.9859,                 1.3103,                0.38526,                0.31917,                0.28974,                0.16173,                 1.6274,                  1.948,                 1.3033,               0.007723,               0.007723,               0.007723
                    118,                 1.6729,                 1.9945,                 1.3127,                0.38626,                 0.3192,                0.29117,                0.16205,                 1.6273,                 1.9482,                 1.3031,              0.0077032,              0.0077032,              0.0077032
                    119,                 1.6627,                 1.9727,                 1.3093,                0.38724,                0.32182,                0.29169,                0.16256,                 1.6253,                 1.9478,                  1.301,              0.0076834,              0.0076834,              0.0076834
                    120,                 1.6708,                  1.977,                   1.31,                0.38561,                0.31241,                0.29192,                0.16238,                 1.6244,                 1.9475,                 1.3001,              0.0076636,              0.0076636,              0.0076636
                    121,                 1.6781,                 1.9671,                 1.3111,                0.38682,                0.31623,                0.29266,                0.16277,                 1.6241,                 1.9465,                 1.2997,              0.0076438,              0.0076438,              0.0076438
                    122,                 1.6713,                 1.9707,                 1.3074,                0.39154,                 0.3119,                0.29302,                0.16278,                 1.6229,                 1.9462,                  1.299,               0.007624,               0.007624,               0.007624
                    123,                 1.6628,                  1.966,                 1.3044,                 0.3906,                0.31418,                0.29178,                0.16283,                 1.6221,                 1.9449,                 1.2988,              0.0076042,              0.0076042,              0.0076042
                    124,                 1.6613,                 1.9527,                 1.3023,                 0.3879,                0.31418,                 0.2921,                0.16342,                 1.6203,                 1.9443,                 1.2976,              0.0075844,              0.0075844,              0.0075844
                    125,                 1.6658,                 1.9623,                 1.3019,                0.39179,                0.31477,                0.29279,                0.16363,                  1.619,                 1.9425,                 1.2966,              0.0075646,              0.0075646,              0.0075646
                    126,                 1.6622,                 1.9481,                 1.3035,                0.39373,                0.31399,                0.29452,                0.16385,                 1.6198,                 1.9397,                 1.2962,              0.0075448,              0.0075448,              0.0075448
                    127,                 1.6637,                 1.9516,                 1.2943,                0.39468,                0.31197,                0.29472,                0.16436,                  1.619,                 1.9387,                 1.2961,               0.007525,               0.007525,               0.007525
                    128,                 1.6555,                  1.946,                  1.304,                0.39928,                0.31045,                0.29569,                0.16501,                 1.6176,                 1.9375,                 1.2954,              0.0075052,              0.0075052,              0.0075052
                    129,                 1.6577,                 1.9596,                  1.297,                0.39862,                 0.3083,                0.29576,                0.16543,                 1.6165,                 1.9368,                  1.295,              0.0074854,              0.0074854,              0.0074854
                    130,                 1.6457,                 1.9264,                 1.2918,                0.40262,                0.31159,                0.29608,                0.16536,                 1.6164,                 1.9369,                 1.2947,              0.0074656,              0.0074656,              0.0074656
                    131,                 1.6487,                 1.9287,                 1.2935,                0.40407,                0.31418,                0.29569,                0.16577,                 1.6163,                 1.9347,                 1.2937,              0.0074458,              0.0074458,              0.0074458
                    132,                 1.6561,                 1.9324,                 1.2973,                0.40675,                 0.3133,                0.29533,                0.16644,                 1.6153,                  1.934,                 1.2934,               0.007426,               0.007426,               0.007426
                    133,                 1.6625,                 1.9426,                 1.2981,                 0.3977,                0.31668,                0.29524,                 0.1664,                 1.6143,                 1.9334,                 1.2925,              0.0074062,              0.0074062,              0.0074062
                    134,                 1.6511,                 1.9451,                  1.293,                0.40257,                0.31455,                0.29611,                0.16659,                 1.6142,                 1.9325,                 1.2922,              0.0073864,              0.0073864,              0.0073864
                    135,                 1.6525,                 1.9328,                 1.2922,                0.40422,                 0.3148,                 0.2968,                0.16691,                 1.6137,                 1.9314,                 1.2918,              0.0073666,              0.0073666,              0.0073666
                    136,                 1.6527,                 1.9328,                 1.2899,                0.40207,                0.31743,                 0.2972,                0.16755,                 1.6127,                 1.9301,                 1.2911,              0.0073468,              0.0073468,              0.0073468
                    137,                 1.6529,                 1.9229,                 1.2899,                0.40041,                0.31358,                0.29778,                0.16762,                 1.6133,                 1.9298,                 1.2911,               0.007327,               0.007327,               0.007327
                    138,                 1.6385,                 1.9079,                  1.285,                0.39756,                 0.3164,                0.29829,                0.16846,                 1.6126,                 1.9288,                 1.2904,              0.0073072,              0.0073072,              0.0073072
                    139,                 1.6446,                 1.9206,                 1.2899,                0.39413,                0.32073,                0.29904,                0.16893,                  1.611,                 1.9274,                 1.2896,              0.0072874,              0.0072874,              0.0072874
                    140,                  1.644,                 1.9022,                  1.284,                0.40036,                0.31822,                0.30011,                0.16925,                 1.6105,                 1.9256,                 1.2888,              0.0072676,              0.0072676,              0.0072676
                    141,                 1.6487,                 1.9088,                 1.2867,                0.40123,                0.31725,                0.30013,                0.16943,                 1.6113,                 1.9245,                 1.2886,              0.0072478,              0.0072478,              0.0072478
                    142,                 1.6421,                 1.9075,                 1.2831,                0.40139,                0.31825,                0.29954,                0.16888,                 1.6094,                 1.9234,                  1.288,               0.007228,               0.007228,               0.007228
                    143,                 1.6276,                 1.8991,                 1.2763,                0.40457,                0.31802,                0.29944,                0.16896,                 1.6102,                 1.9227,                 1.2875,              0.0072082,              0.0072082,              0.0072082
                    144,                 1.6459,                 1.9389,                 1.3023,                0.40209,                 0.3189,                0.30027,                0.16918,                 1.6098,                 1.9225,                 1.2873,              0.0072082,              0.0072082,              0.0072082
                    145,                 1.6571,                 1.9639,                 1.3025,                0.39168,                0.32508,                0.29985,                0.16929,                 1.6089,                 1.9218,                 1.2872,              0.0071686,              0.0071686,              0.0071686
                    146,                 1.6686,                 1.9756,                 1.3075,                0.39021,                0.32422,                0.29962,                0.16932,                 1.6089,                 1.9209,                 1.2871,              0.0071488,              0.0071488,              0.0071488
                    147,                 1.6628,                 1.9777,                 1.3055,                0.39211,                0.32222,                0.29901,                0.16934,                  1.609,                 1.9206,                 1.2869,               0.007129,               0.007129,               0.007129
