                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                 1.3004,                 1.3066,                 1.1546,                0.51184,                0.41519,                0.41523,                0.25948,                  1.414,                 1.6871,                 1.2782,              0.0075448,              0.0075448,              0.0075448
                    127,                 1.3021,                 1.3088,                 1.1525,                0.51109,                0.41781,                 0.4165,                0.26049,                 1.4145,                 1.6856,                 1.2794,               0.007525,               0.007525,               0.007525
                    128,                 1.2994,                 1.3019,                 1.1573,                0.51467,                 0.4168,                0.41642,                0.25999,                 1.4146,                  1.686,                 1.2798,              0.0075052,              0.0075052,              0.0075052
                    129,                  1.302,                 1.2941,                 1.1533,                0.50668,                0.42454,                0.41648,                0.25982,                  1.414,                 1.6851,                 1.2801,              0.0074854,              0.0074854,              0.0074854
                    130,                 1.3051,                 1.2953,                 1.1526,                0.50452,                 0.4237,                0.41657,                0.26018,                 1.4147,                  1.684,                   1.28,              0.0074656,              0.0074656,              0.0074656
                    131,                 1.2929,                 1.3026,                  1.155,                0.50464,                0.42373,                0.41671,                0.26062,                 1.4146,                 1.6827,                 1.2801,              0.0074458,              0.0074458,              0.0074458
                    132,                 1.3004,                 1.2853,                  1.151,                0.50386,                 0.4237,                0.41691,                 0.2604,                 1.4138,                 1.6811,                 1.2801,               0.007426,               0.007426,               0.007426
                    133,                 1.2857,                 1.2749,                 1.1422,                0.49537,                0.42827,                0.41814,                0.26104,                 1.4119,                 1.6797,                 1.2789,              0.0074062,              0.0074062,              0.0074062
                    134,                 1.2892,                 1.2777,                 1.1492,                0.49064,                0.43033,                0.41854,                0.26152,                 1.4106,                 1.6771,                 1.2778,              0.0073864,              0.0073864,              0.0073864
                    135,                 1.2782,                 1.2619,                 1.1409,                0.50872,                0.42342,                0.41925,                0.26135,                 1.4094,                 1.6741,                 1.2771,              0.0073666,              0.0073666,              0.0073666
                    136,                 1.2804,                 1.2707,                 1.1414,                0.52228,                 0.4175,                 0.4194,                0.26246,                 1.4081,                 1.6726,                 1.2757,              0.0073468,              0.0073468,              0.0073468
                    137,                 1.2874,                 1.2724,                 1.1432,                0.52049,                0.41859,                0.41933,                0.26233,                 1.4055,                 1.6688,                 1.2736,               0.007327,               0.007327,               0.007327
                    138,                 1.2777,                  1.257,                  1.139,                 0.5234,                0.41767,                0.41949,                0.26294,                 1.4034,                 1.6694,                 1.2716,              0.0073072,              0.0073072,              0.0073072
                    139,                 1.2773,                 1.2587,                 1.1418,                0.52297,                0.41683,                0.41983,                0.26293,                 1.4054,                 1.6701,                 1.2723,              0.0072874,              0.0072874,              0.0072874
                    140,                 1.2709,                  1.249,                 1.1368,                0.52233,                0.41536,                0.42007,                0.26296,                 1.4088,                 1.6713,                 1.2746,              0.0072676,              0.0072676,              0.0072676
                    141,                 1.2833,                 1.2562,                  1.137,                0.52106,                0.41663,                0.41996,                0.26309,                 1.4116,                 1.6736,                 1.2764,              0.0072478,              0.0072478,              0.0072478
                    142,                 1.2789,                 1.2489,                 1.1347,                0.52348,                0.41632,                0.42051,                0.26301,                 1.4151,                 1.6767,                 1.2781,               0.007228,               0.007228,               0.007228
                    143,                   1.27,                 1.2334,                 1.1366,                0.52237,                0.41662,                0.42024,                0.26306,                 1.4161,                 1.6777,                 1.2784,              0.0072082,              0.0072082,              0.0072082
